REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP +IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;FILTROS;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP (+IVA);EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664045001B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 66,35 MM + KIT JUNTAS PARTE SUPERIOR TC 250 2014-2016;622;ATEN;KP+JA;72,16088264;178,1932;8053300717569;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664045001C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 66,36 MM + KIT JUNTAS PARTE SUPERIOR TC 250 2014-2016;622;ATEN;KP+JA;72,16088264;178,1932;8053300717576;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664045001D;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 66,37 MM + KIT JUNTAS PARTE SUPERIOR TC 250 2014-2016;622;ATEN;KP+JA;72,11641818;178,0834;8053300717507;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664083001A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 66,34 MM + KIT JUNTAS PARTE SUPERIOR EC 250 2T 2021-2023;622;ATEN;KP+JA;72,11641818;178,0834;8053300717514;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664083001B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 66,35 MM + KIT JUNTAS PARTE SUPERIOR EC 250 2T 2021-2023;622;ATEN;KP+JA;72,11641818;178,0834;8053300717521;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664083001C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 66,36 MM + KIT JUNTAS PARTE SUPERIOR EC 250 2T 2021-2023;622;ATEN;KP+JA;72,11641818;178,0834;8053300717538;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664083001D;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 66,37 MM + KIT JUNTAS PARTE SUPERIOR EC 250 2T 2021-2023;622;ATEN;KP+JA;86,76498843;214,2564;8050506053538;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664096001A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 66,34MM + KIT JUNTAS PARTE SUPERIOR KTM EXC250 '24;622;ATEN;KP+JA;86,76498843;214,2564;8050506053545;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664096001B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 66,35MM + KIT JUNTAS PARTE SUPERIOR KTM EXC250 '24;622;ATEN;KP+JA;86,76498843;214,2564;8050506053552;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664096001C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 66,36MM + KIT JUNTAS PARTE SUPERIOR KTM EXC250 '24;622;ATEN;KP+JA;86,76498843;214,2564;8050506053569;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
